FICHIER :;e:\comax\07-02-mesure5.eposacq
Date :;07/02/2017
Heure :;08:58:36

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 3000 rpm.
102 mesures avec période de 5.0 ms


COMMENTAIRE :


MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Moteur;Courant Moteur;
;ms;;rpm;rpm;mA;
         0;       0,0;;         0;         0;        -1;
         1;       5,0;;         0;         0;        -1;
         2;      10,0;;         0;         0;        -1;
         3;      15,0;;         0;         0;        -2;
         4;      20,0;;         0;         0;        -1;
         5;      25,0;;         0;         0;        -2;
         6;      30,0;;         0;         0;        -1;
         7;      35,0;;         0;         0;        -1;
         8;      40,0;;         0;         0;        -1;
         9;      45,0;;         0;         0;        -1;
        10;      50,0;;       200;         0;         5;
        11;      55,0;;       700;         2;       961;
        12;      60,0;;      1200;        22;      3422;
        13;      65,0;;      1700;        68;      6254;
        14;      70,0;;      2200;       148;      7202;
        15;      75,0;;      2700;       254;      7393;
        16;      80,0;;      3000;       377;      7464;
        17;      85,0;;      3000;       513;      7461;
        18;      90,0;;      3000;       665;      7477;
        19;      95,0;;      3000;       830;      7451;
        20;     100,0;;      3000;      1007;      7454;
        21;     105,0;;      3000;      1189;      7481;
        22;     110,0;;      3000;      1372;      7457;
        23;     115,0;;      3000;      1552;      6670;
        24;     120,0;;      3000;      1716;      5307;
        25;     125,0;;      3000;      1859;      4315;
        26;     130,0;;      3000;      1985;      3683;
        27;     135,0;;      3000;      2090;      3340;
        28;     140,0;;      3000;      2176;      3270;
        29;     145,0;;      3000;      2248;      3337;
        30;     150,0;;      3000;      2313;      3335;
        31;     155,0;;      3000;      2371;      3222;
        32;     160,0;;      3000;      2426;      3034;
        33;     165,0;;      3000;      2474;      2837;
        34;     170,0;;      3000;      2512;      2770;
        35;     175,0;;      3000;      2536;      2940;
        36;     180,0;;      3000;      2555;      3169;
        37;     185,0;;      3000;      2571;      3343;
        38;     190,0;;      3000;      2585;      3392;
        39;     195,0;;      3000;      2599;      3388;
        40;     200,0;;      3000;      2608;      3439;
        41;     205,0;;      3000;      2607;      3612;
        42;     210,0;;      3000;      2601;      3959;
        43;     215,0;;      3000;      2597;      4248;
        44;     220,0;;      3000;      2598;      4286;
        45;     225,0;;      3000;      2601;      4166;
        46;     230,0;;      3000;      2607;      3994;
        47;     235,0;;      3000;      2611;      3885;
        48;     240,0;;      3000;      2617;      3793;
        49;     245,0;;      3000;      2624;      3670;
        50;     250,0;;      3000;      2635;      3497;
        51;     255,0;;      3000;      2644;      3324;
        52;     260,0;;      3000;      2651;      3266;
        53;     265,0;;      3000;      2660;      3182;
        54;     270,0;;      3000;      2667;      3091;
        55;     275,0;;      3000;      2673;      3064;
        56;     280,0;;      3000;      2676;      3115;
        57;     285,0;;      3000;      2677;      3175;
        58;     290,0;;      3000;      2677;      3229;
        59;     295,0;;      3000;      2673;      3383;
        60;     300,0;;      3000;      2666;      3575;
        61;     305,0;;      3000;      2661;      3733;
        62;     310,0;;      3000;      2660;      3738;
        63;     315,0;;      3000;      2658;      3686;
        64;     320,0;;      3000;      2654;      3732;
        65;     325,0;;      3000;      2647;      3847;
        66;     330,0;;      3000;      2644;      3919;
        67;     335,0;;      3000;      2642;      3885;
        68;     340,0;;      3000;      2644;      3795;
        69;     345,0;;      3000;      2646;      3673;
        70;     350,0;;      3000;      2650;      3586;
        71;     355,0;;      3000;      2654;      3493;
        72;     360,0;;      3000;      2660;      3368;
        73;     365,0;;      3000;      2663;      3329;
        74;     370,0;;      3000;      2666;      3314;
        75;     375,0;;      3000;      2669;      3294;
        76;     380,0;;      3000;      2673;      3237;
        77;     385,0;;      3000;      2674;      3257;
        78;     390,0;;      3000;      2672;      3320;
        79;     395,0;;      3000;      2669;      3460;
        80;     400,0;;      3000;      2668;      3506;
        81;     405,0;;      3000;      2665;      3564;
        82;     410,0;;      3000;      2661;      3639;
        83;     415,0;;      3000;      2656;      3745;
        84;     420,0;;      3000;      2651;      3827;
        85;     425,0;;      3000;      2649;      3854;
        86;     430,0;;      3000;      2646;      3840;
        87;     435,0;;      3000;      2645;      3828;
        88;     440,0;;      3000;      2643;      3817;
        89;     445,0;;      3000;      2644;      3776;
        90;     450,0;;      3000;      2646;      3705;
        91;     455,0;;      3000;      2648;      3622;
        92;     460,0;;      3000;      2651;      3565;
        93;     465,0;;      3000;      2654;      3495;
        94;     470,0;;      3000;      2658;      3443;
        95;     475,0;;      3000;      2660;      3406;
        96;     480,0;;      3000;      2659;      3443;
        97;     485,0;;      3000;      2657;      3521;
        98;     490,0;;      3000;      2657;      3588;
        99;     495,0;;      3000;      2655;      3634;
       100;     500,0;;      3000;      2652;      3707;
       101;     505,0;;      3000;      2647;      3810;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;5000;0;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

