FICHIER :;e:\comax\07-02-mesure6.eposacq
Date :;07/02/2017
Heure :;09:07:19

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 3000 rpm.
102 mesures avec période de 5.4 ms


COMMENTAIRE :
Kp=3000
 Ki=500

MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Moteur;Courant Moteur;
;ms;;rpm;rpm;mA;
         0;       0,0;;         0;         0;        -1;
         1;       5,4;;         0;         0;         0;
         2;      10,8;;         0;         0;         0;
         3;      16,2;;         0;         0;         0;
         4;      21,6;;         0;         0;         0;
         5;      27,0;;         0;         0;         0;
         6;      32,4;;         0;         0;         0;
         7;      37,8;;         0;         0;         0;
         8;      43,2;;         0;         0;         0;
         9;      48,6;;         0;         0;         0;
        10;      54,0;;         0;         0;         0;
        11;      59,4;;       500;         0;       195;
        12;      64,8;;      1000;         6;      1701;
        13;      70,2;;      1500;        31;      4367;
        14;      75,6;;      2100;        94;      6791;
        15;      81,0;;      2600;       186;      7328;
        16;      86,4;;      3000;       323;      7421;
        17;      91,8;;      3000;       452;      7431;
        18;      97,2;;      3000;       595;      7443;
        19;     102,6;;      3000;       786;      7434;
        20;     108,0;;      3000;       958;      7453;
        21;     113,4;;      3000;      1172;      7451;
        22;     118,8;;      3000;      1353;      7460;
        23;     124,2;;      3000;      1533;      7465;
        24;     129,6;;      3000;      1751;      7449;
        25;     135,0;;      3000;      1939;      7435;
        26;     140,4;;      3000;      2176;      7230;
        27;     145,8;;      3000;      2369;      5911;
        28;     151,2;;      3000;      2541;      4490;
        29;     156,6;;      3000;      2711;      3345;
        30;     162,0;;      3000;      2822;      2588;
        31;     167,4;;      3000;      2922;      2081;
        32;     172,8;;      3000;      2982;      1792;
        33;     178,2;;      3000;      3019;      1692;
        34;     183,6;;      3000;      3036;      1843;
        35;     189,0;;      3000;      3034;      2192;
        36;     194,4;;      3000;      3025;      2551;
        37;     199,8;;      3000;      3020;      2793;
        38;     205,2;;      3000;      3014;      2891;
        39;     210,6;;      3000;      3006;      3014;
        40;     216,0;;      3000;      2993;      3198;
        41;     221,4;;      3000;      2975;      3461;
        42;     226,8;;      3000;      2961;      3738;
        43;     232,2;;      3000;      2951;      3949;
        44;     237,6;;      3000;      2942;      4097;
        45;     243,0;;      3000;      2933;      4276;
        46;     248,4;;      3000;      2925;      4460;
        47;     253,8;;      3000;      2925;      4572;
        48;     259,2;;      3000;      2932;      4498;
        49;     264,6;;      3000;      2948;      4299;
        50;     270,0;;      3000;      2966;      4032;
        51;     275,4;;      3000;      2991;      3714;
        52;     280,8;;      3000;      3008;      3451;
        53;     286,2;;      3000;      3023;      3216;
        54;     291,6;;      3000;      3041;      2989;
        55;     297,0;;      3000;      3053;      2759;
        56;     302,4;;      3000;      3059;      2662;
        57;     307,8;;      3000;      3056;      2696;
        58;     313,2;;      3000;      3048;      2820;
        59;     318,6;;      3000;      3033;      3029;
        60;     324,0;;      3000;      3018;      3248;
        61;     329,4;;      3000;      3001;      3456;
        62;     334,8;;      3000;      2990;      3656;
        63;     340,2;;      3000;      2978;      3811;
        64;     345,6;;      3000;      2965;      4002;
        65;     351,0;;      3000;      2959;      4125;
        66;     356,4;;      3000;      2959;      4142;
        67;     361,8;;      3000;      2964;      4046;
        68;     367,2;;      3000;      2969;      3972;
        69;     372,6;;      3000;      2978;      3863;
        70;     378,0;;      3000;      2986;      3748;
        71;     383,4;;      3000;      2997;      3612;
        72;     388,8;;      3000;      3003;      3519;
        73;     394,2;;      3000;      3011;      3405;
        74;     399,6;;      3000;      3016;      3346;
        75;     405,0;;      3000;      3016;      3363;
        76;     410,4;;      3000;      3014;      3410;
        77;     415,8;;      3000;      3014;      3433;
        78;     421,2;;      3000;      3011;      3436;
        79;     426,6;;      3000;      3005;      3499;
        80;     432,0;;      3000;      3001;      3591;
        81;     437,4;;      3000;      2996;      3652;
        82;     442,8;;      3000;      2991;      3746;
        83;     448,2;;      3000;      2985;      3851;
        84;     453,6;;      3000;      2982;      3913;
        85;     459,0;;      3000;      2979;      3946;
        86;     464,4;;      3000;      2977;      3980;
        87;     469,8;;      3000;      2978;      4008;
        88;     475,2;;      3000;      2981;      3966;
        89;     480,6;;      3000;      2988;      3874;
        90;     486,0;;      3000;      2992;      3799;
        91;     491,4;;      3000;      2998;      3732;
        92;     496,8;;      3000;      3005;      3630;
        93;     502,2;;      3000;      3010;      3548;
        94;     507,6;;      3000;      3014;      3495;
        95;     513,0;;      3000;      3016;      3487;
        96;     518,4;;      3000;      3015;      3474;
        97;     523,8;;      3000;      3011;      3522;
        98;     529,2;;      3000;      3006;      3625;
        99;     534,6;;      3000;      3002;      3686;
       100;     540,0;;      3000;      2996;      3768;
       101;     545,4;;      3000;      2988;      3876;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3000;500;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

