FICHIER :;e:\comax\07-02-mesure8.eposacq
Date :;07/02/2017
Heure :;09:10:15

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 3000 rpm.
102 mesures avec période de 5.4 ms


COMMENTAIRE :
kp=3000
 ki=1500

MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Moteur;Courant Moteur;
;ms;;rpm;rpm;mA;
         0;       0,0;;         0;         0;      2112;
         1;       5,4;;         0;         0;      2112;
         2;      10,8;;         0;         0;      2112;
         3;      16,2;;         0;         0;      2112;
         4;      21,6;;         0;         0;      2112;
         5;      27,0;;         0;         0;      2112;
         6;      32,4;;         0;         0;      2112;
         7;      37,8;;         0;         0;      2112;
         8;      43,2;;         0;         0;      2112;
         9;      48,6;;         0;         0;      2112;
        10;      54,0;;         0;         0;      2112;
        11;      59,4;;       400;       -11;       673;
        12;      64,8;;       900;       -26;      2531;
        13;      70,2;;      1500;        -8;      6108;
        14;      75,6;;      2000;        50;      7194;
        15;      81,0;;      2600;       155;      7413;
        16;      86,4;;      3000;       261;      7445;
        17;      91,8;;      3000;       379;      7472;
        18;      97,2;;      3000;       543;      7425;
        19;     102,6;;      3000;       698;      7440;
        20;     108,0;;      3000;       895;      7451;
        21;     113,4;;      3000;      1064;      7459;
        22;     118,8;;      3000;      1233;      7463;
        23;     124,2;;      3000;      1438;      7478;
        24;     129,6;;      3000;      1615;      7442;
        25;     135,0;;      3000;      1838;      7451;
        26;     140,4;;      3000;      2033;      7460;
        27;     145,8;;      3000;      2232;      6600;
        28;     151,2;;      3000;      2448;      4636;
        29;     156,6;;      3000;      2592;      2622;
        30;     162,0;;      3000;      2713;      1107;
        31;     167,4;;      3000;      2773;       247;
        32;     172,8;;      3000;      2800;       189;
        33;     178,2;;      3000;      2798;       905;
        34;     183,6;;      3000;      2782;      2196;
        35;     189,0;;      3000;      2768;      3580;
        36;     194,4;;      3000;      2777;      4629;
        37;     199,8;;      3000;      2806;      4958;
        38;     205,2;;      3000;      2855;      4726;
        39;     210,6;;      3000;      2895;      4185;
        40;     216,0;;      3000;      2936;      3573;
        41;     221,4;;      3000;      2961;      3010;
        42;     226,8;;      3000;      2971;      2740;
        43;     232,2;;      3000;      2961;      2917;
        44;     237,6;;      3000;      2936;      3646;
        45;     243,0;;      3000;      2912;      4577;
        46;     248,4;;      3000;      2911;      5258;
        47;     253,8;;      3000;      2930;      5327;
        48;     259,2;;      3000;      2970;      4802;
        49;     264,6;;      3000;      3006;      3890;
        50;     270,0;;      3000;      3034;      3031;
        51;     275,4;;      3000;      3048;      2409;
        52;     280,8;;      3000;      3056;      1920;
        53;     286,2;;      3000;      3051;      1704;
        54;     291,6;;      3000;      3032;      1860;
        55;     297,0;;      3000;      2998;      2455;
        56;     302,4;;      3000;      2971;      3263;
        57;     307,8;;      3000;      2955;      3981;
        58;     313,2;;      3000;      2952;      4404;
        59;     318,6;;      3000;      2957;      4519;
        60;     324,0;;      3000;      2968;      4452;
        61;     329,4;;      3000;      2977;      4301;
        62;     334,8;;      3000;      2986;      4150;
        63;     340,2;;      3000;      2998;      3920;
        64;     345,6;;      3000;      3004;      3705;
        65;     351,0;;      3000;      3002;      3655;
        66;     356,4;;      3000;      2994;      3828;
        67;     361,8;;      3000;      2990;      3997;
        68;     367,2;;      3000;      2994;      4050;
        69;     372,6;;      3000;      3003;      3865;
        70;     378,0;;      3000;      3018;      3531;
        71;     383,4;;      3000;      3028;      3144;
        72;     388,8;;      3000;      3033;      2817;
        73;     394,2;;      3000;      3031;      2652;
        74;     399,6;;      3000;      3025;      2640;
        75;     405,0;;      3000;      3011;      2826;
        76;     410,4;;      3000;      2994;      3203;
        77;     415,8;;      3000;      2976;      3734;
        78;     421,2;;      3000;      2964;      4219;
        79;     426,6;;      3000;      2964;      4488;
        80;     432,0;;      3000;      2970;      4530;
        81;     437,4;;      3000;      2979;      4437;
        82;     442,8;;      3000;      2988;      4243;
        83;     448,2;;      3000;      2998;      4026;
        84;     453,6;;      3000;      3003;      3875;
        85;     459,0;;      3000;      3007;      3755;
        86;     464,4;;      3000;      3009;      3647;
        87;     469,8;;      3000;      3008;      3627;
        88;     475,2;;      3000;      3003;      3692;
        89;     480,6;;      3000;      3002;      3751;
        90;     486,0;;      3000;      3006;      3693;
        91;     491,4;;      3000;      3011;      3526;
        92;     496,8;;      3000;      3013;      3404;
        93;     502,2;;      3000;      3015;      3277;
        94;     507,6;;      3000;      3011;      3256;
        95;     513,0;;      3000;      3003;      3371;
        96;     518,4;;      3000;      2994;      3603;
        97;     523,8;;      3000;      2985;      3894;
        98;     529,2;;      3000;      2976;      4177;
        99;     534,6;;      3000;      2972;      4434;
       100;     540,0;;      3000;      2976;      4554;
       101;     545,4;;      3000;      2984;      4471;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3000;1500;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

