FICHIER :;e:\comax\07-02-mesure10.eposacq
Date :;07/02/2017
Heure :;09:12:31

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 3000 rpm.
102 mesures avec période de 5.4 ms


COMMENTAIRE :
kp=3000
 ki=2500

MESURES :
Index;Temps;;Consigne de Vitesse;Vitesse Moteur;Courant Moteur;
;ms;;rpm;rpm;mA;
         0;       0,0;;         0;         0;      2108;
         1;       5,4;;         0;         0;      2108;
         2;      10,8;;         0;         0;      2108;
         3;      16,2;;         0;         0;      2108;
         4;      21,6;;         0;         0;      2108;
         5;      27,0;;         0;         0;      2108;
         6;      32,4;;         0;         0;      2108;
         7;      37,8;;         0;         0;      2108;
         8;      43,2;;         0;         0;      2108;
         9;      48,6;;         0;         0;      2108;
        10;      54,0;;         0;         0;      2108;
        11;      59,4;;       200;        -4;       879;
        12;      64,8;;       700;       -21;      1525;
        13;      70,2;;      1200;       -19;      5426;
        14;      75,6;;      1800;        37;      7079;
        15;      81,0;;      2300;       118;      7377;
        16;      86,4;;      2900;       240;      7437;
        17;      91,8;;      3000;       355;      7447;
        18;      97,2;;      3000;       484;      7439;
        19;     102,6;;      3000;       662;      7456;
        20;     108,0;;      3000;       825;      7476;
        21;     113,4;;      3000;      1026;      7444;
        22;     118,8;;      3000;      1196;      7455;
        23;     124,2;;      3000;      1366;      7449;
        24;     129,6;;      3000;      1574;      7448;
        25;     135,0;;      3000;      1757;      7441;
        26;     140,4;;      3000;      1989;      7435;
        27;     145,8;;      3000;      2188;      6967;
        28;     151,2;;      3000;      2374;      4737;
        29;     156,6;;      3000;      2547;      2042;
        30;     162,0;;      3000;      2636;        48;
        31;     167,4;;      3000;      2679;      -584;
        32;     172,8;;      3000;      2688;       226;
        33;     178,2;;      3000;      2677;      2233;
        34;     183,6;;      3000;      2679;      4541;
        35;     189,0;;      3000;      2713;      6153;
        36;     194,4;;      3000;      2790;      6311;
        37;     199,8;;      3000;      2871;      4998;
        38;     205,2;;      3000;      2941;      2903;
        39;     210,6;;      3000;      2987;       960;
        40;     216,0;;      3000;      2981;       147;
        41;     221,4;;      3000;      2942;       868;
        42;     226,8;;      3000;      2876;      3075;
        43;     232,2;;      3000;      2838;      5782;
        44;     237,6;;      3000;      2837;      7149;
        45;     243,0;;      3000;      2871;      7390;
        46;     248,4;;      3000;      2946;      6892;
        47;     253,8;;      3000;      3017;      4825;
        48;     259,2;;      3000;      3074;      2161;
        49;     264,6;;      3000;      3098;       -56;
        50;     270,0;;      3000;      3071;      -913;
        51;     275,4;;      3000;      2995;       100;
        52;     280,8;;      3000;      2928;      2583;
        53;     286,2;;      3000;      2883;      5356;
        54;     291,6;;      3000;      2886;      7012;
        55;     297,0;;      3000;      2935;      7193;
        56;     302,4;;      3000;      3026;      5479;
        57;     307,8;;      3000;      3086;      2648;
        58;     313,2;;      3000;      3108;       262;
        59;     318,6;;      3000;      3075;      -668;
        60;     324,0;;      3000;      3007;       396;
        61;     329,4;;      3000;      2919;      3051;
        62;     334,8;;      3000;      2876;      6017;
        63;     340,2;;      3000;      2868;      7200;
        64;     345,6;;      3000;      2905;      7395;
        65;     351,0;;      3000;      2968;      6793;
        66;     356,4;;      3000;      3051;      4596;
        67;     361,8;;      3000;      3097;      1900;
        68;     367,2;;      3000;      3107;      -115;
        69;     372,6;;      3000;      3055;      -443;
        70;     378,0;;      3000;      2981;      1236;
        71;     383,4;;      3000;      2916;      3861;
        72;     388,8;;      3000;      2897;      6083;
        73;     394,2;;      3000;      2918;      7037;
        74;     399,6;;      3000;      2983;      6327;
        75;     405,0;;      3000;      3048;      4222;
        76;     410,4;;      3000;      3089;      1868;
        77;     415,8;;      3000;      3085;       389;
        78;     421,2;;      3000;      3046;       343;
        79;     426,6;;      3000;      2969;      1980;
        80;     432,0;;      3000;      2916;      4492;
        81;     437,4;;      3000;      2896;      6610;
        82;     442,8;;      3000;      2917;      7281;
        83;     448,2;;      3000;      2973;      6789;
        84;     453,6;;      3000;      3051;      4698;
        85;     459,0;;      3000;      3092;      2230;
        86;     464,4;;      3000;      3094;       522;
        87;     469,8;;      3000;      3055;       238;
        88;     475,2;;      3000;      2988;      1711;
        89;     480,6;;      3000;      2924;      4160;
        90;     486,0;;      3000;      2909;      6188;
        91;     491,4;;      3000;      2941;      6875;
        92;     496,8;;      3000;      2995;      5971;
        93;     502,2;;      3000;      3056;      3887;
        94;     507,6;;      3000;      3090;      1657;
        95;     513,0;;      3000;      3077;       502;
        96;     518,4;;      3000;      3020;       878;
        97;     523,8;;      3000;      2956;      2760;
        98;     529,2;;      3000;      2913;      5160;
        99;     534,6;;      3000;      2912;      6819;
       100;     540,0;;      3000;      2949;      6981;
       101;     545,4;;      3000;      3020;      5608;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3000;2500;;0;0
Courant :;200;75
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

