FICHIER :;e:\comax\07-02-mesure11.eposacq;;;;
Date :;07/02/2017;;;;
Heure :;09:13:21;;;;
;;;;;
DESCRIPTION :;;;;;
ACQUISITION AXE 1 : CoMax;;;;;
SOLLICITATION en VITESSE avec consigne de 3000 rpm.;;;;;
102 mesures avec période de 5.4 ms;;;;;
;;;;;
;;;;;
COMMENTAIRE :;;;;;
kp=3000;;;;;
 ki=3000;;;;;
;;;;;
MESURES :;;;;;
Index;Temps;;Consigne de Vitesse;Vitesse Moteur;Courant Moteur
;ms;;rpm;rpm;mA
0;0;;0;0;2097
1;5,4;;0;0;2098
2;10,8;;0;0;2098
3;16,2;;0;0;2097
4;21,6;;0;0;2098
5;27;;0;0;2098
6;32,4;;0;0;2097
7;37,8;;0;0;2098
8;43,2;;0;0;2098
9;48,6;;0;0;2098
10;54;;0;0;2098
11;59,4;;400;-10;705
12;64,8;;900;-23;3218
13;70,2;;1500;8;6597
14;75,6;;2000;75;7295
15;81;;2600;188;7436
16;86,4;;3000;298;7446
17;91,8;;3000;420;7441
18;97,2;;3000;588;7459
19;102,6;;3000;746;7472
20;108;;3000;945;7460
21;113,4;;3000;1115;7472
22;118,8;;3000;1284;7455
23;124,2;;3000;1488;7449
24;129,6;;3000;1667;7444
25;135;;3000;1893;7456
26;140,4;;3000;2090;7431
27;145,8;;3000;2286;5785
28;151,2;;3000;2481;2839
29;156,6;;3000;2586;229
30;162;;3000;2643;-882
31;167,4;;3000;2649;-111
32;172,8;;3000;2641;2209
33;178,2;;3000;2650;4970
34;183,6;;3000;2694;6833
35;189;;3000;2792;6763
36;194,4;;3000;2888;4729
37;199,8;;3000;2960;1747
38;205,2;;3000;2990;-579
39;210,6;;3000;2959;-1033
40;216;;3000;2877;947
41;221,4;;3000;2817;4675
42;226,8;;3000;2801;6953
43;232,2;;3000;2825;7359
44;237,6;;3000;2868;7449
45;243;;3000;2949;6491
46;248,4;;3000;3016;4016
47;253,8;;3000;3058;1260
48;259,2;;3000;3059;-622
49;264,6;;3000;3010;-604
50;270;;3000;2926;1619
51;275,4;;3000;2881;4811
52;280,8;;3000;2879;6915
53;286,2;;3000;2934;7321
54;291,6;;3000;3011;5817
55;297;;3000;3088;2652
56;302,4;;3000;3106;-253
57;307,8;;3000;3078;-1511
58;313,2;;3000;2988;-294
59;318,6;;3000;2906;3070
60;324;;3000;2862;6402
61;329,4;;3000;2867;7259
62;334,8;;3000;2899;7429
63;340,2;;3000;2971;6729
64;345,6;;3000;3033;4433
65;351;;3000;3077;1772
66;356,4;;3000;3076;-117
67;361,8;;3000;3029;-194
68;367,2;;3000;2946;1890
69;372,6;;3000;2899;4905
70;378;;3000;2894;6942
71;383,4;;3000;2936;7351
72;388,8;;3000;3011;6011
73;394,2;;3000;3088;2898
74;399,6;;3000;3108;33
75;405;;3000;3072;-1249
76;410,4;;3000;2996;-110
77;415,8;;3000;2915;3171
78;421,2;;3000;2871;6407
79;426,6;;3000;2882;7251
80;432;;3000;2935;7433
81;437,4;;3000;3003;6028
82;442,8;;3000;3060;3299
83;448,2;;3000;3084;855
84;453,6;;3000;3059;-218
85;459;;3000;2978;860
86;464,4;;3000;2914;3774
87;469,8;;3000;2891;6506
88;475,2;;3000;2911;7291
89;480,6;;3000;2966;7084
90;486;;3000;3057;4786
91;491,4;;3000;3099;1599
92;496,8;;3000;3093;-450
93;502,2;;3000;3036;-571
94;507,6;;3000;2955;1625
95;513;;3000;2888;5079
96;518,4;;3000;2890;7033
97;523,8;;3000;2925;7372
98;529,2;;3000;3003;6379
99;534,6;;3000;3067;3643
100;540;;3000;3086;1048
101;545,4;;3000;3057;57
;;;;;
Paramètre AXE :;CoMax;;;;
PID AXE :;KP;KI;KD;KV;KA
Position :;2420;8340;3230;0;0
Vitesse :;3000;3000;;0;0
Courant :;200;75;;;
Sécurité;;;;;
Acc. max.:;100000;rpm/s;;;
Vit. max.:;6000;rpm;;;
